cenario,hora,fator_carga,vento_m_s,v_min_pu,v_max_pu,trafo_carreg_pct,perdas_MW,i_ka,carregamento_pct,theta_ambiente_C,delta_theta_K,theta_hotspot_C,theta_so_carga_C,theta_so_ambiente_C,causa_dominante,alarme_temperatura
DIA TIPICO,10,0.9,2.6,0.9048658371365286,1.02,56.967881065616865,0.5474363957567334,0.05958409686303719,9.930682810506198,30.8,1.6146557131613084,32.41465571316131,41.614655713161305,95.8,NORMAL,False
DIA TIPICO,11,0.92,2.8,0.9018680631777029,1.02,58.34396970705854,0.5745819565815431,0.061023381550654704,10.170563591775785,32.0,1.6775110437407565,33.67751104374076,41.67751104374076,97.0,NORMAL,False
DIA TIPICO,12,0.9,3.0,0.9048658371365286,1.02,56.967881065616865,0.5474363957567334,0.05958409686303719,9.930682810506198,32.8,1.6146557131613084,34.4146557131613,41.614655713161305,97.8,NORMAL,False
DIA TIPICO,13,0.88,3.1,0.9078399228887133,1.02,55.59809703629415,0.5211592959257025,0.0581514063230713,9.691901053845218,33.2,1.5529866105648311,34.75298661056483,41.55298661056483,98.2,AMBIENTE,False
DIA TIPICO,14,0.9,3.0,0.9048658371365286,1.02,56.967881065616865,0.5474363957567334,0.05958409686303719,9.930682810506198,33.0,1.6146557131613084,34.614655713161305,41.614655713161305,98.0,AMBIENTE,False
DIA TIPICO,15,0.92,2.8,0.9018680631777029,1.02,58.34396970705854,0.5745819565815431,0.061023381550654704,10.170563591775785,32.5,1.6775110437407565,34.17751104374076,41.67751104374076,97.5,NORMAL,False
DIA TIPICO,16,0.94,2.5,0.8988460610525432,1.02,59.726501202927004,0.6026152779131282,0.062469404976927614,10.411567496154603,31.5,1.7415628295009777,33.24156282950098,41.74156282950098,96.5,NORMAL,False
DIA TIPICO,17,0.97,2.2,0.8942663965991241,1.02,61.81269424768705,0.6463739088064333,0.06465140518702646,10.775234197837744,30.0,1.8399079919534749,31.839907991953474,41.839907991953474,95.0,NORMAL,False
DIA TIPICO,18,1.0,1.9,0.8896289619505267,1.02,63.914216079347916,0.6922464554087524,0.06684943814937616,11.141573024896028,28.5,1.9410100069456575,30.441010006945657,41.94101000694566,93.5,NORMAL,False
DIA TIPICO,19,1.0,1.6,0.8896289619505267,1.02,63.914216079347916,0.6922464554087524,0.06684943814937616,11.141573024896028,27.5,1.9410100069456575,29.441010006945657,41.94101000694566,92.5,NORMAL,False
DIA TIPICO,20,0.98,1.5,0.8927271056276932,1.02,62.511472375407365,0.6614262417336034,0.06538227428148752,10.897045713581253,26.8,1.873300258712414,28.673300258712416,41.87330025871241,91.8,NORMAL,False
DIA TIPICO,21,0.9,1.4,0.9048658371365286,1.02,56.967881065616865,0.5474363957567334,0.05958409686303719,9.930682810506198,26.0,1.6146557131613084,27.61465571316131,41.614655713161305,91.0,NORMAL,False
DIA TIPICO,22,0.78,1.3,0.9223725922899388,1.02,48.83924101331005,0.4021735590210236,0.05108215414911278,8.513692358185464,25.4,1.2621241631516666,26.662124163151667,41.26212416315167,90.4,NORMAL,False
DIA TIPICO,23,0.68,1.2,0.9363836159753002,1.02,42.21987050753978,0.3023788583555449,0.04415879283144904,7.359798805241506,24.9,0.9997671532241619,25.89976715322416,40.99976715322416,89.9,NORMAL,False
CALOR EXTREMO (+8 C),0,0.62,1.2,0.94456064084892,1.02,38.30983252249801,0.2509720312848014,0.0400691886536599,6.678198108943318,32.5,0.8557920226970824,33.35579202269708,40.85579202269708,97.5,NORMAL,False
CALOR EXTREMO (+8 C),1,0.58,1.1,0.9499222068987586,1.02,35.727277612880975,0.2200204192166635,0.037368031443326094,6.228005240554349,32.2,0.7653704798417033,32.96537047984171,40.76537047984171,97.2,NORMAL,False
CALOR EXTREMO (+8 C),2,0.55,1.0,0.9538980750619993,1.02,33.80255783627174,0.19848430513176796,0.03535492005793431,5.8924866763223855,32.0,0.7004725668844803,32.70047256688448,40.70047256688448,97.0,NORMAL,False
CALOR EXTREMO (+8 C),3,0.54,1.0,0.9552149379128886,1.02,33.163254795419064,0.19161790469571827,0.0346862574064468,5.781042901074467,31.8,0.6793964359873617,32.47939643598736,40.679396435987364,96.8,NORMAL,False
CALOR EXTREMO (+8 C),4,0.55,1.1,0.9538980750619993,1.02,33.80255783627174,0.19848430513176796,0.03535492005793431,5.8924866763223855,31.7,0.7004725668844803,32.40047256688448,40.70047256688448,96.7,NORMAL,False
CALOR EXTREMO (+8 C),5,0.6,1.2,0.9472501836059087,1.02,37.01619814206082,0.23517205519185325,0.038716144881508194,6.4526908135847,31.9,0.8100255659239041,32.7100255659239,40.8100255659239,96.9,NORMAL,False
CALOR EXTREMO (+8 C),6,0.68,1.4,0.9363836159753002,1.02,42.21987050753978,0.3023788583555449,0.04415879283144904,7.359798805241506,32.5,0.9997671532241619,33.49976715322416,40.99976715322416,97.5,NORMAL,False
CALOR EXTREMO (+8 C),7,0.78,1.7,0.9223725922899388,1.02,48.83924101331005,0.4021735590210236,0.05108215414911278,8.513692358185464,33.8,1.2621241631516666,35.062124163151665,41.26212416315167,98.8,AMBIENTE,False
CALOR EXTREMO (+8 C),8,0.85,2.0,0.912257768247714,1.02,53.55495197611933,0.48333155601201216,0.0560144310504533,9.335738508408884,35.5,1.4626864648587166,36.96268646485872,41.46268646485872,100.5,AMBIENTE,False
CALOR EXTREMO (+8 C),9,0.88,2.3,0.9078399228887133,1.02,55.59809703629415,0.5211592959257025,0.0581514063230713,9.691901053845218,37.2,1.5529866105648311,38.75298661056483,41.55298661056483,102.2,AMBIENTE,False
CALOR EXTREMO (+8 C),10,0.9,2.6,0.9048658371365286,1.02,56.967881065616865,0.5474363957567334,0.05958409686303719,9.930682810506198,38.8,1.6146557131613084,40.4146557131613,41.614655713161305,103.8,AMBIENTE,False
CALOR EXTREMO (+8 C),11,0.92,2.8,0.9018680631777029,1.02,58.34396970705854,0.5745819565815431,0.061023381550654704,10.170563591775785,40.0,1.6775110437407565,41.67751104374076,41.67751104374076,105.0,AMBIENTE,False
CALOR EXTREMO (+8 C),12,0.9,3.0,0.9048658371365286,1.02,56.967881065616865,0.5474363957567334,0.05958409686303719,9.930682810506198,40.8,1.6146557131613084,42.4146557131613,41.614655713161305,105.8,AMBIENTE,False
CALOR EXTREMO (+8 C),13,0.88,3.1,0.9078399228887133,1.02,55.59809703629415,0.5211592959257025,0.0581514063230713,9.691901053845218,41.2,1.5529866105648311,42.75298661056483,41.55298661056483,106.2,AMBIENTE,False
CALOR EXTREMO (+8 C),14,0.9,3.0,0.9048658371365286,1.02,56.967881065616865,0.5474363957567334,0.05958409686303719,9.930682810506198,41.0,1.6146557131613084,42.614655713161305,41.614655713161305,106.0,AMBIENTE,False
CALOR EXTREMO (+8 C),15,0.92,2.8,0.9018680631777029,1.02,58.34396970705854,0.5745819565815431,0.061023381550654704,10.170563591775785,40.5,1.6775110437407565,42.17751104374076,41.67751104374076,105.5,AMBIENTE,False
CALOR EXTREMO (+8 C),16,0.94,2.5,0.8988460610525432,1.02,59.726501202927004,0.6026152779131282,0.062469404976927614,10.411567496154603,39.5,1.7415628295009777,41.24156282950098,41.74156282950098,104.5,AMBIENTE,False
CALOR EXTREMO (+8 C),17,0.97,2.2,0.8942663965991241,1.02,61.81269424768705,0.6463739088064333,0.06465140518702646,10.775234197837744,38.0,1.8399079919534749,39.839907991953474,41.839907991953474,103.0,AMBIENTE,False
CALOR EXTREMO (+8 C),18,1.0,1.9,0.8896289619505267,1.02,63.914216079347916,0.6922464554087524,0.06684943814937616,11.141573024896028,36.5,1.9410100069456575,38.44101000694566,41.94101000694566,101.5,AMBIENTE,False
CALOR EXTREMO (+8 C),19,1.0,1.6,0.8896289619505267,1.02,63.914216079347916,0.6922464554087524,0.06684943814937616,11.141573024896028,35.5,1.9410100069456575,37.44101000694566,41.94101000694566,100.5,AMBIENTE,False
CALOR EXTREMO (+8 C),20,0.98,1.5,0.8927271056276932,1.02,62.511472375407365,0.6614262417336034,0.06538227428148752,10.897045713581253,34.8,1.873300258712414,36.67330025871241,41.87330025871241,99.8,AMBIENTE,False
CALOR EXTREMO (+8 C),21,0.9,1.4,0.9048658371365286,1.02,56.967881065616865,0.5474363957567334,0.05958409686303719,9.930682810506198,34.0,1.6146557131613084,35.614655713161305,41.614655713161305,99.0,AMBIENTE,False
CALOR EXTREMO (+8 C),22,0.78,1.3,0.9223725922899388,1.02,48.83924101331005,0.4021735590210236,0.05108215414911278,8.513692358185464,33.4,1.2621241631516666,34.66212416315167,41.26212416315167,98.4,AMBIENTE,False
CALOR EXTREMO (+8 C),23,0.68,1.2,0.9363836159753002,1.02,42.21987050753978,0.3023788583555449,0.04415879283144904,7.359798805241506,32.9,0.9997671532241619,33.89976715322416,40.99976715322416,97.9,NORMAL,False
